School name,Suggested Mascot,website,osmLink
Edwin S Dodson Elementary School,Grizzlies,https://www.washoeschools.net/dodson,https://www.openstreetmap.org/way/477401690
Garfield Elementary School,Grizzlies,https://garfield.boiseschools.org/,https://www.openstreetmap.org/way/664339002
Oliver W. Holmes Elementary School,Hawks,https://www.op97.org/holmes,https://www.openstreetmap.org/way/277096006
Colinas del Norte Elementary School,Hawks,https://colinas.rrps.net/,https://www.openstreetmap.org/way/348165856
Holley Elementary,HAWKS,https://www.fortbendisd.com/mhe,https://www.openstreetmap.org/way/457328664
Maple Hill Elementary School,HAWKS,https://www.maplehillschool.org/,https://www.openstreetmap.org/way/461753981
Gilmore Elementary School,Hawks,https://gilmore.bpsma.org/,https://www.openstreetmap.org/way/586716332
Hawthorne Elementary School,Hawks,https://hawthorne.boiseschools.org/,https://www.openstreetmap.org/way/664338997
Hill View Elementary School,Hawks,https://www.sylvaniaschools.org/hillviewelementary_home.aspx,https://www.openstreetmap.org/way/700459899
Harp Elementary School,Hawks,https://harp.sdale.org/,https://www.openstreetmap.org/way/744473300
Hillcrest Elementary School,Hawks,https://hillcrest.lincolnschools.org/o/hes,https://www.openstreetmap.org/way/1222147690
Helendale Elementary School,HAWKS,https://www.helendalesd.org/Schools/Helendale-Elementary-School-HES/index.html,https://www.openstreetmap.org/way/1227118675
Nathan Hale Elementary School,Hawks,http://nathanhale.meriden.k12.ct.us,https://www.openstreetmap.org/way/1274761476
Suy:u Elementary School,Hawks,https://suy-u.scusd.edu/,https://www.openstreetmap.org/way/1291208701
Hay Branch Elementary School,Hawks,https://www.killeenisd.org/HayBranch,https://www.openstreetmap.org/way/1362986452
Hayfield Elementary School,Hawks,https://www.fcps.edu/HayfieldES/,https://www.openstreetmap.org/way/1382158939
Hanson Park Elementary School,Hawks,https://hanson.cps.edu/,https://www.openstreetmap.org/way/1443555069
Hancock Elementary School,Heat,https://www.cusd80.com/hancock,https://www.openstreetmap.org/way/997556911
Richardson Heights Elementary School,Heights,https://schools.risd.org/RichardsonHeightsES,https://www.openstreetmap.org/way/279669330
Hale Elementary School,Heroes,https://www.mpsaz.org/hale,https://www.openstreetmap.org/way/429544286
Veterans Elementary School,Heroes,https://veterans.bcsdk12.net/,https://www.openstreetmap.org/way/970424021
Warren Hunt Elementary School,Highlanders,https://hun.puyallupsd.org/,https://www.openstreetmap.org/way/264165672
Nathanael Greene Elementary School,Hornets,https://greene.cps.edu/,https://www.openstreetmap.org/way/405330583
Dewey Elementary School,Hornets,https://www.chillicotheschools.org/o/dewey,https://www.openstreetmap.org/way/845504810
Field Elementary School,Hornets,https://www.chillicotheschools.org/o/field,https://www.openstreetmap.org/way/845504814
Hidden Hollow Elementary School,Hornets,https://hiddenhollow.alpineschools.org/,https://www.openstreetmap.org/way/1115277670
Dubach Elementary School,Hornets,https://dubach.lincolnschools.org/o/des,https://www.openstreetmap.org/way/1222652771
Hunt Elementary School,Huskies,https://hunt.sdale.org/,https://www.openstreetmap.org/node/1127325946
Horizon Elementary School,Huskies,https://horizon.murrayschools.org/,https://www.openstreetmap.org/way/39896158
Huebner Elementary School,Huskies,https://www.neisd.net/huebner/,https://www.openstreetmap.org/way/185737633
Harrison Elementary School,Huskies,http://harrison.warsaw.k12.in.us/,https://www.openstreetmap.org/way/379749759
Carolyn and Vernon Madden Elementary,HUSKIES,https://www.fortbendisd.com/cvme,https://www.openstreetmap.org/way/457328643
Margaret Heath Elementary School,Huskies,https://heath.bpusd.net/,https://www.openstreetmap.org/way/1157520599
Thomas Hooker Elementary School,Huskies,http://thomashooker.meriden.k12.ct.us/,https://www.openstreetmap.org/way/1275052458
Wauseon Elementary School,Indians,https://sites.google.com/wauseonindians.org/wes/,https://www.openstreetmap.org/node/3640066973
